video_name,aanloop,afstoot,zweeffase_1,zweeffase_2,landing
img_s1.mp4,1,1,1,1,1
img_s2.mp4,1,1,1,1,1
img_s3.mp4,1,1,1,1,1
img_s4.mp4,1,1,1,1,1
img_s5.mp4,1,1,1,1,1
img_s6.mp4,1,1,1,1,1
img_s7.mp4,1,1,1,1,0
img_s8.mp4,1,1,1,1,1
img_s9.mp4,1,1,1,1,0
img_s10.mp4,1,1,1,1,1
img_s11.mp4,0,1,1,1,1
img_s12.mp4,1,1,0,1,1
img_s13.mp4,1,1,0,1,0
img_s14.mp4,1,1,1,1,1
img_s15.mp4,1,1,0,0,0
img_s16.mp4,1,1,0,0,0
img_s17.mp4,1,1,1,1,0
img_s18.mp4,1,1,0,1,0
img_s19.mp4,1,1,1,1,1
img_s20.mp4,1,1,0,1,0
img_s21.mp4,1,1,0,1,0
img_s22.mp4,1,1,0,1,1
img_s23.mp4,1,0,0,1,1
img_s24.mp4,1,1,0,0,0
img_s25.mp4,1,1,0,1,0
img_s26.mp4,1,1,0,1,0
img_s27.mp4,1,1,0,0,0
img_s28.mp4,1,1,1,0,0
img_s29.mp4,1,1,1,0,0
img_s30.mp4,1,1,0,0,0
img_s31.mp4,1,1,0,1,0
img_s32.mp4,1,1,0,1,0
img_s33.mp4,1,1,0,1,0
img_s34.mp4,1,1,0,1,0
img_s35.mp4,1,1,1,1,0
img_s36.mp4,1,0,0,0,0
img_s37.mp4,1,1,0,1,0
img_s38.mp4,1,0,0,0,0
img_s39.mp4,1,1,0,0,0
img_s40.mp4,1,1,0,1,0
img_s41.mp4,1,1,0,1,0
img_s42.mp4,1,1,1,1,0
img_s43.mp4,1,1,0,0,0
img_s44.mp4,1,1,1,1,0
img_s45.mp4,1,1,0,0,0
img_s46.mp4,1,0,0,1,0
img_s47.mp4,1,1,0,1,0
img_s48.mp4,1,1,1,1,0
img_s49.mp4,1,1,0,0,0
img_s50.mp4,1,1,1,1,0
img_s51.mp4,1,1,0,1,0
img_s52.mp4,1,1,0,0,0
img_s53.mp4,1,1,1,0,0
img_s54.mp4,1,1,0,0,1
img_s55.mp4,1,1,1,1,1
img_s56.mp4,1,1,0,0,0
img_s57.mp4,1,0,1,1,0
img_s58.mp4,1,1,0,0,0
img_s59.mp4,1,1,1,0,0
img_s60.mp4,1,1,0,0,0
img_s61.mp4,1,1,0,1,0
img_s62.mp4,1,1,1,1,0
img_s63.mp4,1,1,0,0,0
img_s64.mp4,1,1,1,1,0
img_s65.mp4,1,1,1,0,0
img_s66.mp4,1,1,1,1,0
img_s67.mp4,1,1,1,0,0
img_s68.mp4,1,1,0,0,0
img_s69.mp4,1,1,0,0,0
img_s70.mp4,1,0,0,1,0
img_s71.mp4,1,1,1,1,0
img_s72.mp4,1,0,0,1,0
img_s73.mp4,1,1,0,0,0
img_s74.mp4,1,0,0,0,0
img_s75.mp4,1,1,0,1,0
img_s76.mp4,1,1,0,1,0
img_s77.mp4,1,1,1,1,1
img_s78.mp4,1,1,1,0,1
img_s79.mp4,1,1,1,1,1
img_s80.mp4,1,1,1,1,1
img_s81.mp4,1,1,1,1,1
img_s82.mp4,1,1,1,1,1
img_s83.mp4,1,1,1,1,1
