video_name,beginpositie,opzwaai,handplaatsing,lichaamshouding,landing
img_h1.mp4,1,1,1,1,1
img_h2.mp4,1,1,1,1,1
img_h3.mp4,1,1,1,1,1
img_h4.mp4,1,1,1,1,1
img_h5.mp4,1,1,1,1,1
img_h6.mp4,1,1,1,1,1
img_h7.mp4,1,1,1,1,1
img_h8.mp4,0,1,1,1,1
img_h9.mp4,1,1,1,1,1
img_h10.mp4,1,1,1,1,0
img_h11.mp4,0,1,1,1,1
img_h12.mp4,0,1,1,1,0
img_h13.mp4,1,1,1,1,0
img_h14.mp4,1,1,0,1,0
img_h15.mp4,1,1,1,1,1
img_h16.mp4,1,1,1,1,1
img_h17.mp4,0,1,1,1,0
img_h18.mp4,0,1,1,1,0
img_h19.mp4,0,1,1,1,1
img_h20.mp4,1,1,1,1,0
img_h21.mp4,1,1,1,1,0
img_h22.mp4,1,1,1,1,1
img_h23.mp4,1,1,1,1,1
img_h24.mp4,0,1,1,1,0
img_h25.mp4,0,1,1,1,0
img_h26.mp4,0,1,1,1,0
img_h27.mp4,0,1,1,1,0
img_h28.mp4,1,1,1,1,0
img_h29.mp4,0,1,1,1,1
img_h30.mp4,1,1,1,1,1
img_h31.mp4,1,1,0,1,0
img_h32.mp4,1,1,0,1,0
img_h33.mp4,0,1,1,1,1
img_h34.mp4,1,1,1,1,0
img_h35.mp4,1,1,1,1,1
img_h36.mp4,1,1,1,1,1
img_h37.mp4,0,1,1,1,0
img_h38.mp4,1,1,1,1,0
img_h39.mp4,0,1,1,1,1
img_h40.mp4,1,1,1,1,0
img_h41.mp4,0,1,1,1,0
img_h42.mp4,0,1,1,1,0
img_h43.mp4,0,1,1,1,0
img_h44.mp4,0,1,1,1,1
img_h45.mp4,0,1,0,1,0
img_h46.mp4,1,1,1,1,0
img_h47.mp4,0,1,1,1,1
img_h48.mp4,1,1,0,1,0
img_h49.mp4,0,1,1,1,1
img_h50.mp4,1,1,1,1,0
img_h51.mp4,0,1,1,1,0
img_h52.mp4,0,1,1,1,1
img_h53.mp4,1,1,1,1,1
img_h54.mp4,1,1,1,1,0
img_h55.mp4,0,1,1,1,1
img_h56.mp4,0,1,1,1,0
img_h57.mp4,1,1,1,1,0
img_h58.mp4,0,1,1,1,0
img_h59.mp4,0,1,0,1,0
img_h60.mp4,0,1,1,1,0
img_h61.mp4,0,1,1,1,0
img_h62.mp4,0,1,1,1,1
img_h63.mp4,0,1,1,1,1
img_h64.mp4,1,1,1,1,1
img_h65.mp4,0,1,1,1,1
img_h66.mp4,1,1,1,1,1
img_h67.mp4,1,1,1,1,1
img_h68.mp4,1,1,1,1,1
img_h69.mp4,1,1,1,1,1
img_h70.mp4,0,1,1,1,1
img_h71.mp4,0,1,1,1,1
img_h72.mp4,0,1,1,1,0
img_h73.mp4,1,1,1,1,1
